;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;1,3999999999999986;0,01;0,005;0,015;0,035
2;3,7333333333333307;0,02;0,006;0,026000000000000002;0,06
3;6,799999999999997;0,03;0,008;0,038;0,075
4;7,666666666666668;0,04;0,01;0,05;0,08199999999999999
5;11,666666666666668;0,05;0,012;0,062;0,095
6;14,666666666666668;0,06;0,015;0,075;0,105
7;18,499999999999996;0,07;0,02;0,09;0,113
8;22,666666666666668;0,08;0,025;0,105;0,12300000000000001
9;27,13333333333333;0,09;0,026000000000000002;0,11599999999999999;0,135
10;32,66666666666667;0,1;0,026000000000000002;0,126;0,14400000000000002
11;37,900000000000006;0,11;0,027000000000000003;0,13699999999999998;0,15
12;43,133333333333326;0,12;0,027000000000000003;0,147;0,158
13;48,33333333333333;0,13;0,027999999999999997;0,158;0,165
14;53,66666666666666;0,14;0,028999999999999998;0,16899999999999998;0,17
15;59,0;0,15;0,03;0,18;0,18
16;64,66666666666666;0,16;0,031;0,191;0,188
17;71,33333333333333;0,17;0,03;0,2;0,196
18;77,66666666666666;0,18;0,03;0,21;0,20199999999999999
19;84,33333333333333;0,19;0,031;0,221;0,212
20;92,0;0,2;0,031;0,231;0,22
21;99,16666666666666;0,21;0,032;0,242;0,226
22;108,33333333333333;0,22;0,033;0,253;0,23199999999999998
23;116,83333333333333;0,23;0,034;0,264;0,24
24;125,99999999999999;0,24;0,034;0,27399999999999997;0,248
25;135,83333333333334;0,25;0,035;0,285;0,256
26;145,83333333333334;0,26;0,036000000000000004;0,29600000000000004;0,265
27;160,26666666666668;0,27;0,037000000000000005;0,307;0,26899999999999996
28;179,33333333333334;0,28;0,038;0,318;0,27399999999999997
29;204,83333333333334;0,29;0,038;0,32799999999999996;0,278
30;244,33333333333334;0,3;0,039;0,33899999999999997;0,28
31;303,8333333333333;0,31;0,04;0,35;0,285
32;397,3333333333333;0,32;0,04;0,36;0,287
33;551,8333333333334;0,33;0,040999999999999995;0,371;0,287
34;772,8333333333334;0,34;0,042;0,382;0,287
35;1007,3000000000001;0,349;0,043;0,39199999999999996;0,287
36;1048,3;0,35;0,044000000000000004;0,39399999999999996;0,287
37;1316,8;0,36;0,045;0,405;0,287
38;1633,3;0,37;0,046;0,41600000000000004;0,287
39;1763,8;0,374;0,047;0,42100000000000004;0,287

