frame;frente
0;49,625
1;49,5
2;48,5
3;48,5
4;48,25
5;48
6;48
7;47
8;46,625
9;46,375
10;46,25
11;45,375
12;45
13;44,5
14;44,375
15;44,25
16;44,375
17;44,5
18;44,375
19;44,625
20;44,5
21;44,625
22;44,625
23;44,75
24;44,25
25;44
26;44
27;43,75
28;43,75
29;43,375
30;43
31;43,25
32;43
33;42,875
34;43,375
35;43,5
36;42,75
37;43
38;42,75
39;43
40;43
41;43
42;43
43;43
44;43
45;43
46;42,5
47;42,75
48;43
49;42,5
50;42,5
51;42,625
52;42,5
53;42,5
54;42,25
55;42,375
56;42,5
57;42
58;42
59;42
60;42
61;41,875
62;42
63;42
64;41,75
65;42
66;42
67;41,75
68;42
69;41,5
70;41,75
71;42
72;41,5
73;41,625
74;41,5
75;41,75
76;41,75
77;41,75
78;41,875
79;41,5
80;41,5
81;41,875
82;41,5
83;41,5
84;41,75
85;41,5
86;41,5
87;41,5
88;41,5
89;41,5
90;41,5
91;41
92;41,5
93;41,5
94;41
95;41,25
96;41,5
97;41
98;41
99;41,125
100;41
101;41
102;41,125
103;41
104;41
105;41
106;41
107;41
108;41
109;41
110;41
111;41
112;41
113;41
114;41
115;40,625
116;41
117;41
118;40,5
119;40,5
120;41
121;40,5
122;40,5
123;40,625
124;40,5
125;40,5
126;40,5
127;40,75
128;40,375
129;40,5
130;40,375
131;40,25
132;40,375
133;40,25
134;40,125
135;40
136;40
137;40,25
138;40
139;40
140;40
141;40
142;40
143;40
144;40
145;40
146;40
147;40
148;39,625
149;39,875
150;40
151;39,625
152;39,75
153;39,875
154;39,875
155;39,25
156;39,375
157;39,5
158;39,5
159;39,125
160;39,5
161;39,5
162;39,125
163;39
164;39
165;39,25
166;39
167;39
168;39
169;39
170;39
171;39
172;39
173;39
174;39
175;39
176;39
177;39
178;39
179;39
180;38,75
181;39
182;39
183;39
184;38,5
185;38,875
186;39
187;39
188;38,5
189;38,5
190;39
191;30,125
192;38,5
193;38,5
194;39
195;39
196;38,5
197;38,625
198;39
199;39
200;38,5
201;38,5
202;39
203;39
204;38,5
205;38,5
206;38,75
207;39
208;38,5
209;38,5
210;38,625
211;39
212;38,5
213;38,5
214;38,5
215;39
216;38,5
217;38,5
218;38,5
219;39
220;38,5
221;38,5
222;38,5
223;38,625
224;38,125
225;38,375
226;38,375
227;38,5
228;38
229;38
230;38,125
231;38,5
232;38
233;38
234;38
235;38,5
236;38,5
237;38
238;38,125
239;38,5
240;38,5
241;38
242;38
243;38,125
244;38,5
245;38
246;38
247;38
248;38,125
249;38
250;38
251;38
252;38
253;38
254;38
255;38
256;38
257;38
258;38
259;38
260;38
261;38
262;38
263;38
264;38
265;38
266;37,75
267;38
268;38
269;38
270;37,625
271;37,75
272;37,875
273;37,875
274;37,75
275;37,5
276;37,75
277;38
278;37,875
279;37,5
280;37,5
281;37,75
282;38
283;38
284;37,5
285;37,5
286;37,75
287;37,75
288;37,875
289;37,5
290;37,5
291;37,625
292;37,875
293;38
294;37,5
295;37,5
296;37,625
297;37,875
298;37,875
299;37,5
300;37,5
301;37,5
302;37,625
303;37,25
304;37,5
305;37,5
306;37,5
307;37,5
308;37,125
309;37,375
310;37,375
311;37,375
312;37,375
313;37
314;37
315;37
316;37,125
317;37,375
318;37
319;37
320;37
321;37
322;37
323;37,25
324;37
325;37
326;37
327;37
328;37
329;37
330;37
331;37
332;37
333;37
334;36,875
335;37
336;37
337;37
338;36,875
339;36,75
340;37
341;36,875
342;37
343;34,875
344;36,625
345;36,75
346;36,75
347;37
348;37
349;36,5
350;36,5
351;36,5
352;36,75
353;37
354;36,625
355;36,375
356;36,375
357;36,625
358;36,875
359;37
360;37
361;36,25
362;36,375
363;36,625
364;36,75
365;37
366;36,25
367;36,5
368;36,5
369;36,625
370;36,75
371;36,75
372;36,375
373;36,5
374;36,5
375;36,125
376;36
377;36
378;36,125
379;36,125
380;36,125
381;36
382;36
383;36
384;36,125
385;36
386;36
387;36
388;35,875
389;35,875
390;36
391;36
392;36
393;35,875
394;35,875
395;36
396;36
397;36
398;36,125
399;35,875
400;36
401;36
402;36
403;36,125
404;36,25
405;36
406;35,75
407;35,875
408;36
409;36
410;36
411;36
412;35,625
413;36
414;36
415;36
416;36
417;36
418;35,875
419;35,75
420;36
421;36
422;36
423;36
424;35,75
425;35,75
426;35,75
427;35,75
428;35,875
429;36
430;35,75
431;35,5
432;35,5
433;35,875
434;35,625
435;35,875
436;35,5
437;35,5
438;35,5
439;35,5
440;35,5
441;35,5
442;35,375
443;35,5
444;35,5
445;35,5
446;35,5
447;35,625
448;35,5
449;35,375
450;35,5
451;35,5
452;35,5
453;35,5
454;35,75
455;35,25
456;35,5
457;35,5
458;35,5
459;35,5
460;35,625
461;35,5
462;35,5
463;35,5
464;35,5
465;35,5
466;35,625
467;35,5
468;35,5
469;35,75
470;35,5
471;35,5
472;35,5
473;35,5
474;35,5
475;35,625
476;35,5
477;35,5
478;35,5
479;35,75
480;36
481;35,5
482;35,5
483;35,5
484;35,875
485;35,5
486;35,5
487;35,5
488;35,5
489;35,5
490;35,75
491;35,5
492;35,5
493;35,5
494;35,625
495;35,625
496;35,5
497;35,5
498;35,5
499;35,75
500;35,5
501;35,5
502;35,5
503;35,5
504;35,5
505;35,5
506;35,5
507;35,5
508;35,5
509;35,5
510;35,25
511;34,625
512;35,75
513;35,875
514;35,5
515;35,5
516;35,5
517;35,5
518;35,625
519;35,5
520;35,5
521;35,5
522;35,5
523;35,5
524;35,5
525;35,5
526;35,5
527;35,5
528;35,625
529;35,5
530;35,5
531;35,5
532;35,5
533;35,5
534;35,5
535;35,375
536;35,5
537;35,5
538;35,5
539;35
540;35,125
541;35,375
542;35,25
543;35,125
544;35
545;35
546;35,375
547;35,375
548;35,125
549;35
550;35
551;35,125
552;35
553;35,125
554;35
555;35
556;35,125
557;35,125
558;35,25
559;35,25
560;35
561;35,125
562;35
563;35,375
564;35,5
565;35
566;35
567;35
568;35,375
569;35,5
570;35,25
571;35
