tiempo;spot 1;spot 2;spot 3;spot 4;term 1 ;term 2;term 3;term 4
1;23;21,8;21,8;21,7;21,5;21,8;21,3;21,9
2;23;21,8;21,8;21,7;21,5;21,8;21,3;21,9
3;23,1;21,8;21,8;21,7;21,5;21,8;21,3;21,9
4;22,9;21,8;22;21,7;21,5;21,9;21,3;21,9
5;22,9;21,8;22;21,7;21,5;21,9;21,4;21,9
6;23;21,8;22;21,7;21,4;21,8;21,3;21,9
7;22,8;21,8;21,9;21,7;21,5;21,8;21,4;21,9
8;22,8;21,8;21,9;21,7;21,5;21,9;21,4;21,9
9;22,7;21,7;21,9;21,7;21,4;21,9;21,4;21,9
10;22,8;21,8;21,9;21,7;21,5;21,9;21,4;21,9
11;22,7;21,8;21,8;21,7;21,5;21,8;21,4;22
12;22,8;21,7;21,8;21,7;21,5;21,9;21,4;21,9
13;22,7;21,7;21,8;21,7;21,5;21,9;21,4;22
14;22,8;21,8;21,8;21,7;21,6;21,8;21,4;22
15;22,9;21,7;21,8;21,7;21,6;21,8;21,4;22
16;23;21,7;21,8;21,7;21,6;21,8;21,3;22
17;22,8;21,7;21,7;21,7;21,6;21,8;21,3;22
18;22,8;21,7;21,7;21,7;21,5;21,8;21,3;22
19;22,8;21,7;21,8;21,7;21,6;21,9;21,4;22
20;22,8;21,7;21,8;21,7;21,6;21,9;21,4;22
21;22,9;21,7;21,7;21,7;21,6;21,8;21,3;22
22;23;21,7;21,8;21,6;21,6;21,9;21,4;22
23;23,2;21,7;21,8;21,7;21,6;21,8;21,4;22
24;23,5;21,7;21,7;21,7;32,1;21,8;21,3;24,8
25;51,4;21,7;21,7;21,7;38,5;21,8;21,4;28
26;50;21,7;21,8;21,6;40,9;21,8;21,4;29
27;51,2;21,8;21,8;21,7;42,5;21,8;21,4;30,2
28;51,9;21,7;21,8;21,7;44,3;21,9;21,3;30,4
29;51,9;21,7;21,8;21,7;44,9;21,8;21,4;30,6
30;50,4;21,7;21,8;21,7;45,5;21,8;21,4;31,1
31;50,9;21,7;21,8;21,7;46;21,8;21,3;31,1
32;50,2;21,7;21,8;21,7;46,3;21,8;21,4;31,2
33;49,7;21,7;21,8;21,7;46,7;21,8;21,4;31,4
34;50,4;21,7;21,8;21,7;46,7;21,8;21,3;31,4
35;50,6;21,7;21,9;21,6;46,7;21,9;21,4;31,4
36;50,9;21,7;21,8;21,7;46,6;21,8;21,3;31,4
37;51,3;21,8;21,8;21,7;46,5;21,8;21,3;31,3
38;51,7;21,8;21,9;21,7;46,4;21,8;21,4;31,3
39;52;21,7;21,8;21,6;46,3;21,8;21,4;31,3
40;51,9;21,7;21,9;21,7;46,2;21,9;21,4;31,2
41;51,6;21,7;21,9;21,6;45,9;21,8;21,4;31,1
42;51,3;21,7;21,8;21,6;45,7;21,8;21,3;31
43;51,2;21,6;21,8;21,7;45,9;21,8;21,3;31,1
44;51,3;21,6;21,8;21,6;45,7;21,8;21,3;31
45;51,3;21,7;21,8;21,6;45,6;21,8;21,3;31
46;51,5;21,7;21,8;21,6;45,5;21,9;21,4;31
47;51,6;21,7;21,8;21,6;45,4;21,9;21,4;30,9
48;51,6;21,7;21,9;21,6;44,9;21,9;21,4;30,8
49;51,9;21,7;21,8;21,6;44,8;21,8;21,4;30,7
50;52,2;21,7;21,8;21,6;45;21,8;21,4;30,8
51;52,3;21,7;21,8;21,6;45,1;21,8;21,4;30,8
52;52,6;21,8;21,9;21,7;45,1;21,8;21,3;30,9
53;52,8;21,7;21,9;21,6;45,1;21,8;21,4;30,8
54;53;21,7;21,9;21,6;44,9;21,8;21,4;30,7
55;53,2;21,7;21,9;21,6;44,4;21,8;21,4;30,5
56;53,2;21,6;21,9;21,6;44,4;21,8;21,4;30,6
57;53,2;21,7;22;21,6;44,4;21,9;21,4;30,5
58;53,1;21,7;22;21,6;43,9;21,8;21,3;30,4
59;53,2;21,7;22;21,6;44,2;21,8;21,4;30,5
60;53,3;21,7;22,1;21,6;44,3;21,8;21,3;30,6
