;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;5,0;0,01;0,02;0,03;0,04
2;24,5;0,02;0,025;0,045;0,05
3;48,5;0,03;0,03;0,06;0,07
4;65,16666666666667;0,04;0,033;0,073;0,08
5;103,5;0,05;0,037000000000000005;0,087;0,092
6;146,0;0,06;0,04;0,1;0,10800000000000001
7;188,5;0,07;0,042;0,11199999999999999;0,11800000000000001
8;239,5;0,08;0,048;0,128;0,127
9;295,0;0,09;0,048;0,138;0,14
10;354,5;0,1;0,05;0,15;0,15
11;416,3333333333333;0,11;0,052000000000000005;0,162;0,16
12;484,6666666666667;0,12;0,055;0,175;0,17
13;544,0;0,13;0,057;0,187;0,17600000000000002
14;620,5;0,14;0,057999999999999996;0,198;0,185
15;697,0;0,15;0,06;0,21;0,19699999999999998
16;773,5;0,16;0,063;0,223;0,20199999999999999
17;858,5;0,17;0,065;0,235;0,21
18;943,5;0,18;0,067;0,247;0,218
19;1032,6333333333334;0,19;0,068;0,258;0,23
20;1132,9666666666667;0,2;0,07;0,27;0,23
21;1231,9666666666667;0,21;0,07;0,28;0,24
22;1350,9666666666667;0,22;0,07200000000000001;0,292;0,248
23;1515,9666666666667;0,23;0,07200000000000001;0,302;0,25
24;1763,3;0,24;0,07200000000000001;0,312;0,25
25;1976,0;0,248;0,07200000000000001;0,32;0,252
26;2269,0;0,25;0,07200000000000001;0,322;0,252
27;2582,0;0,252;0,07200000000000001;0,324;0,252
28;2883,0;0,257;0,07200000000000001;0,32899999999999996;0,252
29;2892,0;0,257;0,07200000000000001;0,32899999999999996;0,252
30;3190,0;0,259;0,07200000000000001;0,331;0,252
31;3498,0;0,26;0,07200000000000001;0,332;0,252
32;3808,0;0,26;0,07200000000000001;0,332;0,252
33;4110,0;0,26;0,07200000000000001;0,332;0,252
34;4415,0;0,261;0,07200000000000001;0,333;0,252
35;4723,0;0,261;0,07200000000000001;0,333;0,252
36;5036,0;0,261;0,07200000000000001;0,333;0,252
37;5347,0;0,262;0,07200000000000001;0,33399999999999996;0,252
38;5660,0;0,262;0,07200000000000001;0,33399999999999996;0,252
39;6224,0;0,263;0,07200000000000001;0,335;0,252
40;6712,0;0,263;0,07200000000000001;0,335;0,252
41;9511,0;0,263;0,07200000000000001;0,335;0,252
