frame;frente
0;52,375
1;52,5
2;51,375
3;50,5
4;50
5;49,125
6;49,5
7;49,25
8;48,875
9;49,125
10;48
11;48,5
12;48,5
13;47,5
14;48,5
15;48,5
16;47,5
17;47,875
18;48
19;47,5
20;47,5
21;47,5
22;47
23;47,5
24;46,5
25;47,125
26;47,625
27;46,75
28;47,5
29;48
30;47,5
31;47
32;46,625
33;47
34;46,5
35;46,375
36;46,5
37;47
38;46
39;46,5
40;47
41;46,5
42;46,5
43;46
44;46,125
45;46,5
46;45,625
47;46,5
48;45,5
49;46,5
50;45,875
51;46,5
52;46,5
53;46,5
54;46,5
55;46,5
56;46,5
57;46,125
58;46,5
59;46,875
60;46,5
61;46,5
62;46,875
63;46,5
64;46,875
65;46,625
66;46,5
67;46,5
68;46,5
69;46,375
70;46,5
71;46,5
72;45,5
73;46,5
74;46,5
75;45,5
76;46,25
77;46,5
78;45,5
79;46
80;46,5
81;45,75
82;30,125
83;45,5
84;45,875
85;46,5
86;45,75
87;45,5
88;46
89;46,5
90;45,5
91;45,875
92;46,25
93;45,5
94;45,5
95;46
96;46
97;45,5
98;45,875
99;46,125
100;45,5
101;45,5
102;46
103;45,5
104;45,5
105;45,5
106;45,875
107;45,5
108;45,5
109;45,5
110;45,75
111;45,5
112;45,5
113;45,5
114;46
115;45,5
116;45,5
117;45,5
118;45,625
119;45,5
120;45,5
121;45,5
122;45,625
123;45,375
124;45,375
125;45,5
126;45,5
127;44,5
128;45,25
129;45,5
130;45,5
131;44,5
132;44,875
133;45,5
134;45,5
135;44,5
136;44,5
137;45,5
138;45,5
139;44,75
140;44,5
141;44,875
142;45,25
143;45,375
144;44,5
145;44,5
146;45
147;45
148;44,5
149;44,5
150;44,875
151;45
152;45
153;44,5
154;44,5
155;44,5
156;44,875
157;44,75
158;44,5
159;44,5
160;44,5
161;44,75
162;44,5
163;44,5
164;44,5
165;44,5
166;44,5
167;44,375
168;44,5
169;44,5
170;44,5
171;44,5
172;44,125
173;44,5
174;44,5
175;44,5
176;44,5
177;43,5
178;43,875
179;44
180;44,5
181;44,5
182;43,5
183;43,5
184;44
185;44,25
186;44,5
187;43,5
188;43,5
189;43,875
190;44
191;44,375
192;43,5
193;43,5
194;43,5
195;44
196;44
197;43,5
198;43,5
199;43,5
200;43,5
201;44
202;43,75
203;43,5
204;43,5
205;43,5
206;43,5
207;43,5
208;43,5
209;43,5
210;43,5
211;43,5
212;43,5
213;43,5
214;43,5
215;43,5
216;43,5
217;43
218;43,5
219;43,5
220;43,5
221;43,5
222;42,5
223;42,875
224;43,125
225;43,125
226;43,375
227;43,25
228;42,5
229;42,5
230;43
231;43
232;43,125
233;42,5
234;42,5
235;42,5
236;42,625
237;43
238;43
239;42,5
240;42,5
241;42,5
242;42,5
243;43
244;42,625
245;42,5
246;42,5
247;42,5
248;42,5
249;42,5
250;42,25
251;42,5
252;42,5
253;42,5
254;42,5
255;42,25
256;42
257;42,5
258;42,5
259;42,5
260;42,5
261;42,5
262;41,625
263;42
264;42,375
265;42,5
266;42,5
267;41,5
268;41,5
