tf;sp1;sp2;sp3;sp4;tc;cp1;cp2;cp3;cp4
0;28,3;22,9;22,7;22,6;0;23,6;22,8;22,3;23,2
1;31,4;22,8;22,6;22,6;1;24,1;24;22,6;26,7
2;53;23,2;22,6;22,5;2;40,9;27,8;22,7;27,8
3;53,3;23,2;22,6;22,5;3;42,8;28,4;22,9;28,4
4;53,7;23,2;22,6;22,6;4;44;28,7;22,9;28,9
5;52,5;23,3;22,7;22,6;5;44,9;28,8;22,9;29,1
6;52;23,3;22,6;22,5;6;45,1;28,9;22,8;29,2
7;52;23,3;22,6;22,6;7;45,2;29;22,9;29,2
8;51,9;23,3;22,6;22,5;8;45,1;29;22,9;29,2
9;52;23,4;22,6;22,6;9;45;29;22,9;29,2
10;52,1;23,3;22,6;22,5;10;45;29;22,9;29,1
11;52,4;23,3;22,6;22,5;11;44,9;28,9;22,9;29,2
12;53;23,4;22,6;22,5;12;45;28,9;22,9;29,2
13;53,7;23,4;22,6;22,5;13;45;29;22,9;29,1
14;54,1;23,4;22,6;22,6;14;45;28,9;22,9;29,2
15;54,3;23,4;22,6;22,5;15;45;28,9;22,9;29,2
16;54,4;23,4;22,6;22,6;16;44,9;28,9;22,9;29,1
17;54,3;23,4;22,6;22,6;17;44,9;29;22,9;29,1
18;54,3;23,4;22,6;22,5;18;44,8;28,8;22,9;29,2
19;54,3;23,4;22,6;22,5;19;44,8;28,9;22,9;29,1
20;54,3;23,4;22,7;22,6;20;44,8;28,9;22,9;29,1
21;54,2;23,4;22,7;22,5;21;44,7;28,8;22,9;29,1
22;54,3;23,5;22,7;22,6;22;44,6;28,8;22,9;29,1
23;54,4;23,4;22,6;22,5;23;44,6;28,8;22,9;29
24;54,4;23,5;22,6;22,5;24;44,6;28,8;22,9;29,1
25;54,5;23,4;22,6;22,6;25;44,5;28,8;22,9;29,1
26;54,5;23,5;22,6;22,6;26;44,5;28,8;22,9;29
27;54,5;23,5;22,6;22,6;27;44,4;28,7;22,9;29
28;54,5;23,5;22,7;22,6;28;44,4;28,7;22,9;29
29;54,5;23,4;22,7;22,5;29;44,3;28,7;22,9;29
30;54,4;23,4;22,6;22,5;30;44,3;28,7;22,9;29
31;54,4;23,5;22,6;22,6;31;44,2;28,7;22,9;29
32;54,2;23,4;22,6;22,6;32;44,1;28,7;22,9;29
33;54,1;23,4;22,6;22,6;33;44,1;28,7;22,9;28,9
34;53,9;23,4;22,6;22,5;34;44,1;28,6;22,9;29
35;53,9;23,5;22,6;22,5;35;44;28,7;22,9;28,9
36;53,7;23,4;22,6;22,5;36;43,9;28,6;22,9;28,9
37;53,7;23,5;22,6;22,5;37;43,9;28,6;22,9;28,9
38;53,9;23,5;22,6;22,5;38;43,8;28,6;22,9;28,9
39;54,1;23,4;22,6;22,5;39;43,8;28,6;22,9;28,8
40;54;23,5;22,6;22,5;40;43,7;28,6;22,9;28,8
41;54,2;23,5;22,6;22,6;41;43,7;28,6;22,9;28,8
42;54,2;23,4;22,6;22,5;42;43,6;28,5;22,8;28,8
43;54,2;23,5;22,6;22,5;43;43,6;28,5;22,8;28,8
44;54,2;23,4;22,6;22,4;44;43,5;28,6;22,8;28,8
45;54;23,4;22,5;22,5;45;43,5;28,5;22,8;28,8
46;53,9;23,4;22,5;22,4;46;43,4;28,5;22,8;28,8
47;54;23,4;22,5;22,5;47;43,5;28,5;22,8;28,8
48;54;23,4;22,6;22,5;48;43,3;28,5;22,8;28,8
49;54,1;23,5;22,6;22,5;49;43,3;28,5;22,8;28,8
50;54;23,5;22,6;22,5;50;43,3;28,4;22,7;28,7
51;54,1;23,5;22,6;22,6;51;43,3;28,5;22,7;28,7
