tiempo;spot 1 ;spot 2;spot 3;spot 4;term 1;term 2;term 3;term 4
0,00;28,2;23;22,8;22,7;23;22,8;22,3;23
1,00;28,1;22,9;22,7;22,6;23,1;22,7;22,3;23
2,00;28,2;22,9;22,7;22,6;23;22,8;22,3;23
3,00;28,2;22,9;22,7;22,7;23;22,8;22,3;23
4,00;28,1;22,9;22,7;22,5;23,1;22,7;22,3;23
5,00;28,1;22,9;22,7;22,6;23;22,7;22,3;23
6,00;28,1;23;22,7;22,5;23;22,7;22,3;23
7,00;27,7;22,9;22,6;22,5;23,2;22,8;22,3;23,1
8,00;28;23;22,7;22,6;23,1;22,8;22,3;23
9,00;28,7;22,9;22,7;22,6;23,1;22,7;22,3;23,1
10,00;27,5;22,9;22,7;22,6;23,3;22,8;22,4;23,1
11,00;28,8;22,9;22,7;22,6;23,4;22,8;22,3;23,1
12,00;27,7;22,9;22,6;22,6;23,4;22,8;22,3;23,1
13,00;28,7;22,9;22,6;22,5;23,4;22,8;22,3;23,1
14,00;28,3;22,8;22,6;22,5;23,5;22,9;22,3;23,1
15,00;28,3;22,9;22,7;22,6;23,6;22,8;22,3;23,2
16,00;31,4;22,8;22,6;22,6;24,1;24;22,6;26,7
17,00;53;23,2;22,6;22,5;40,9;27,8;22,7;27,8
18,00;53,3;23,2;22,6;22,5;42,8;28,4;22,9;28,4
19,00;53,7;23,2;22,6;22,6;44;28,7;22,9;28,9
20,00;52,5;23,3;22,7;22,6;44,9;28,8;22,9;29,1
21,00;52;23,3;22,6;22,5;45,1;28,9;22,8;29,2
22,00;52;23,3;22,6;22,6;45,2;29;22,9;29,2
23,00;51,9;23,3;22,6;22,5;45,1;29;22,9;29,2
24,00;52;23,4;22,6;22,6;45;29;22,9;29,2
25,00;52,1;23,3;22,6;22,5;45;29;22,9;29,1
26,00;52,4;23,3;22,6;22,5;44,9;28,9;22,9;29,2
27,00;53;23,4;22,6;22,5;45;28,9;22,9;29,2
28,00;53,7;23,4;22,6;22,5;45;29;22,9;29,1
29,00;54,1;23,4;22,6;22,6;45;28,9;22,9;29,2
30,00;54,3;23,4;22,6;22,5;45;28,9;22,9;29,2
31,00;54,4;23,4;22,6;22,6;44,9;28,9;22,9;29,1
32,00;54,3;23,4;22,6;22,6;44,9;29;22,9;29,1
33,00;54,3;23,4;22,6;22,5;44,8;28,8;22,9;29,2
34,00;54,3;23,4;22,6;22,5;44,8;28,9;22,9;29,1
35,00;54,3;23,4;22,7;22,6;44,8;28,9;22,9;29,1
36,00;54,2;23,4;22,7;22,5;44,7;28,8;22,9;29,1
37,00;54,3;23,5;22,7;22,6;44,6;28,8;22,9;29,1
38,00;54,4;23,4;22,6;22,5;44,6;28,8;22,9;29
39,00;54,4;23,5;22,6;22,5;44,6;28,8;22,9;29,1
40,00;54,5;23,4;22,6;22,6;44,5;28,8;22,9;29,1
41,00;54,5;23,5;22,6;22,6;44,5;28,8;22,9;29
42,00;54,5;23,5;22,6;22,6;44,4;28,7;22,9;29
43,00;54,5;23,5;22,7;22,6;44,4;28,7;22,9;29
44,00;54,5;23,4;22,7;22,5;44,3;28,7;22,9;29
45,00;54,4;23,4;22,6;22,5;44,3;28,7;22,9;29
46,00;54,4;23,5;22,6;22,6;44,2;28,7;22,9;29
47,00;54,2;23,4;22,6;22,6;44,1;28,7;22,9;29
48,00;54,1;23,4;22,6;22,6;44,1;28,7;22,9;28,9
49,00;53,9;23,4;22,6;22,5;44,1;28,6;22,9;29
50,00;53,9;23,5;22,6;22,5;44;28,7;22,9;28,9
51,00;53,7;23,4;22,6;22,5;43,9;28,6;22,9;28,9
52,00;53,7;23,5;22,6;22,5;43,9;28,6;22,9;28,9
53,00;53,9;23,5;22,6;22,5;43,8;28,6;22,9;28,9
54,00;54,1;23,4;22,6;22,5;43,8;28,6;22,9;28,8
55,00;54;23,5;22,6;22,5;43,7;28,6;22,9;28,8
56,00;54,2;23,5;22,6;22,6;43,7;28,6;22,9;28,8
57,00;54,2;23,4;22,6;22,5;43,6;28,5;22,8;28,8
58,00;54,2;23,5;22,6;22,5;43,6;28,5;22,8;28,8
59,00;54,2;23,4;22,6;22,4;43,5;28,6;22,8;28,8
60,00;54;23,4;22,5;22,5;43,5;28,5;22,8;28,8
61,00;53,9;23,4;22,5;22,4;43,4;28,5;22,8;28,8
62,00;54;23,4;22,5;22,5;43,5;28,5;22,8;28,8
63,00;54;23,4;22,6;22,5;43,3;28,5;22,8;28,8
64,00;54,1;23,5;22,6;22,5;43,3;28,5;22,8;28,8
65,00;54;23,5;22,6;22,5;43,3;28,4;22,7;28,7
66,00;54,1;23,5;22,6;22,6;43,3;28,5;22,7;28,7
67,00;54;23,4;22,6;22,5;43,3;28,4;22,7;28,7
68,00;54,1;23,5;22,6;22,4;43,3;28,4;22,8;28,7
69,00;54,1;23,5;22,6;22,5;43,2;28,5;22,8;28,7
