Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,03-10-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
13:07:31,0,  22.6,  22.5,  22.4,  22.7, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:31,1,  22.6,  22.5,  22.4,  22.7, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:32,2,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:33,3,  22.5,  22.5,  22.3,  22.7, 850.0, 850.0,  23.9,  24.1,  24.4,  25.1,
13:07:34,4,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.1,
13:07:35,5,  22.4,  22.6,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.1,
13:07:36,6,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:37,7,  22.5,  22.6,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.1,
13:07:38,8,  22.5,  22.6,  22.4,  22.7, 850.0, 850.0,  23.9,  24.2,  24.4,  25.1,
13:07:39,9,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:40,10,  22.5,  22.6,  22.4,  22.7, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:41,11,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.2,  24.5,  25.2,
13:07:42,12,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
13:07:43,13,  22.5,  22.5,  22.4,  22.8, 850.0, 850.0,  23.9,  24.1,  24.4,  25.2,
