tf;av;max
0;32,4;35,0
1;32,4;35,0
2;32,3;35,0
3;32,3;35,0
4;32,3;35,0
5;32,3;35,0
6;32,4;35,0
7;32,3;34,9
8;32,4;35,0
9;32,4;35,0
10;32,3;34,9
11;28,2;28,4
13,333;32,3;35,0
14,333;32,4;35,0
15,333;32,3;34,9
16,333;32,3;34,9
17,333;32,4;35,1
18,333;32,3;35,0
19,333;32,3;34,9
20,333;32,3;34,9
21,333;32,4;35,0
22,333;32,4;35,0
23,333;32,4;35,1
24,333;32,5;35,0
25,333;32,6;35,1
26,333;32,8;35,3
27,333;33,8;37,0
28,333;54,1;60,0
29,333;55,9;61,1
30,333;57,5;60,7
32,233;57,2;60,4
33,233;57,2;60,2
34,233;57,2;60,0
35,233;56,9;60,4
36,233;56,9;60,8
37,233;56,7;60,5
38,233;56,7;60,2
39,233;56,8;60,0
40,233;56,8;59,8
41,233;56,8;59,7
42,233;57,2;59,2
43,233;57,4;60,7
44,233;57,4;60,6
45,233;57,2;59,6
46,233;57,1;58,9
47,233;57,1;58,8
48,233;57,1;60,3
49,233;57,0;60,2
50,233;56,8;59,7
51,233;56,6;59,6
52,233;57,0;59,2
53,233;56,6;58,1
54,233;56,5;58,3
55,233;56,3;58,5
56,233;56,2;58,7
57,233;55,9;58,3
58,233;55,8;58,2
59,233;56,0;58,2
60,233;55,8;58,3
61,233;55,9;58,2
62,233;56,0;58,6
63,233;56,1;58,6
64,233;56,1;58,5
65,233;56,1;58,4
66,233;56,0;58,4
69,033;56,1;57,8
70,033;56,0;57,9
71,067;55,9;58,4
72,067;55,9;58,2
73,067;56,1;58,1
74,067;56,3;57,7
75,067;56,5;57,2
76,067;56,4;57,1
77,067;56,2;57,0
78,067;55,9;56,8
79,067;55,7;56,7
80,067;55,7;56,3
81,067;55,6;56,5
82,067;55,6;56,4
83,067;55,6;56,4
84,067;55,6;56,2
85,067;55,5;55,9
86,067;55,5;55,8
87,067;55,3;55,5
88,067;55,0;55,4
89,067;54,9;55,4
90,067;54,9;55,4
91,067;54,8;55,3
92,067;54,7;55,2
93,067;54,4;54,9
94,067;54,5;55,1
95,067;54,7;55,1
96,067;54,6;55,4
97,067;54,5;55,4
98,067;54,3;55,4
99,067;54,1;55,3
100,067;54,0;55,1
101,067;53,9;56,0
