;avance: tiempo;avance: distancia desde punto eyeccion;avance: distancia hacia atrás;avance: largo total flujo;avance: ancho maximo
0;0,0;0,0;0,0;0,0;0,0
1;1,2333333333333307;0,01;0,0;0,01;0,02
2;6,399999999999999;0,02;0,002;0,022000000000000002;0,06
3;10,799999999999997;0,03;0,005;0,035;0,078
4;16,4;0,04;0,008;0,048;0,085
5;23,066666666666663;0,05;0,01;0,06;0,09699999999999999
6;29,733333333333334;0,06;0,011000000000000001;0,071;0,107
7;36,4;0,07;0,013000000000000001;0,083;0,115
8;44,73333333333333;0,08;0,013999999999999999;0,094;0,12300000000000001
9;52,73333333333333;0,09;0,015;0,105;0,131
10;63,06666666666667;0,1;0,016;0,11599999999999999;0,14
11;72,4;0,11;0,017;0,127;0,15
12;82,23333333333332;0,12;0,018000000000000002;0,138;0,158
13;92,86666666666667;0,13;0,02;0,15;0,16399999999999998
14;105,23333333333332;0,14;0,021;0,161;0,171
15;116,73333333333335;0,15;0,023;0,17300000000000001;0,18
16;128,06666666666666;0,16;0,024;0,184;0,19
17;138,9;0,17;0,026000000000000002;0,196;0,195
18;152,23333333333335;0,18;0,027000000000000003;0,207;0,2
19;168,4;0,19;0,027999999999999997;0,218;0,20800000000000002
20;175,9;0,2;0,03;0,23;0,213
21;181,83333333333334;0,21;0,031;0,24100000000000002;0,222
22;186,06666666666666;0,22;0,033;0,253;0,244
23;191,20000000000002;0,23;0,035;0,265;0,252
24;198,20000000000002;0,24;0,036000000000000004;0,276;0,259
25;207,56666666666666;0,25;0,038;0,28800000000000003;0,262
26;219,56666666666666;0,26;0,04;0,3;0,266
27;241,73333333333332;0,27;0,042;0,312;0,268
28;268,7333333333333;0,28;0,044000000000000004;0,324;0,272
29;319,4;0,29;0,046;0,336;0,276
30;404,4;0,3;0,048;0,348;0,278
31;506,4;0,31;0,05;0,36;0,27899999999999997
32;642,4;0,32;0,05;0,37;0,28
33;846,4;0,33;0,05;0,38;0,28
34;1009,8666666666667;0,337;0,05;0,387;0,28
35;1125,5333333333335;0,34;0,05;0,39;0,28
36;1724,5333333333335;0,35;0,05;0,4;0,28
