FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;266;0,590225564;0,067669173;0,033834586;0,033834586;0,033834586;0,052631579;0,12406015;0,063909774;0
1;929;0,303552207;0,043057051;0,031216362;0,024757804;0,024757804;0,041980624;0,167922497;0,311087191;0,051668461
2;1446;0,227524205;0,045643154;0,017289073;0,02351314;0,026279391;0,039419087;0,168049793;0,307053942;0,145228216
3;1856;0,21875;0,035560345;0,021551724;0,014547414;0,023168103;0,045258621;0,143857759;0,359375;0,137931034
4;2184;0,205128205;0,036172161;0,017857143;0,021062271;0,019688645;0,044871795;0,135531136;0,413919414;0,105769231
5;2456;0,188517915;0,028501629;0,01995114;0,011400651;0,021579805;0,048452769;0,142100977;0,395358306;0,144136808
6;2777;0,179330212;0,026647461;0,018005041;0,013683831;0,020885848;0,045372704;0,144760533;0,374504861;0,176809507
7;3078;0,167641326;0,030539311;0,012670565;0,017218973;0,02014295;0,045159194;0,147823262;0,376868096;0,181936322
8;3372;0,158659549;0,024021352;0,017200474;0,014531435;0,021352313;0,045670225;0,18831554;0,361803084;0,168446026
9;3703;0,161220632;0,025924926;0,015122873;0,015662976;0,018093438;0,044828517;0,206319201;0,351876857;0,160950581
10;4025;0,155776398;0,025838509;0,018136646;0,013167702;0,017639752;0,047453416;0,196273292;0,359751553;0,16173913
11;4317;0,14523975;0,025480658;0,015056752;0,01181376;0,021542738;0,049803104;0,184618948;0,389159138;0,155663655
12;4652;0,144239037;0,021496131;0,015477214;0,014187446;0,018271711;0,055245056;0,175838349;0,412295787;0,142949269
13;4958;0,137152077;0,026018556;0,010689794;0,013513514;0,022993142;0,054255748;0,174263816;0,412464704;0,148648649
14;5268;0,134776006;0,021450266;0,014426727;0,014426727;0,020311314;0,053910402;0,191343964;0,401480638;0,147873956
15;5579;0,132281771;0,023122423;0,010575372;0,013622513;0,021509231;0,055565514;0,204875426;0,396128338;0,142319412
16;5935;0,136815501;0,021229992;0,0126369;0,011625948;0,02021904;0,053243471;0,21769166;0,392249368;0,134288121
17;6219;0,13088921;0,020099694;0,012220614;0,014150185;0,017526934;0,055635954;0,243125904;0,376748673;0,12960283
18;6509;0,127208481;0,022123214;0,011676141;0,010447073;0,021815947;0,054232601;0,259025964;0,359041327;0,134429252
19;6804;0,126690182;0,020135215;0,012786596;0,009994121;0,021017049;0,059229865;0,268224574;0,353909465;0,128012934
20;7089;0,123994922;0,017774016;0,013965298;0,010720835;0,019043589;0,063760756;0,277754267;0,344054168;0,128932148
21;7402;0,122669549;0,019454202;0,010267495;0,013374764;0,017022426;0,070386382;0,281140232;0,3332883;0,13239665
22;7698;0,120680696;0,020394908;0,010652117;0,010911925;0,020265004;0,074305014;0,287217459;0,325539101;0,130033775
23;7976;0,116975928;0,018430291;0,01165998;0,010531595;0,021564694;0,08161986;0,292377131;0,322968907;0,123871615
24;8243;0,114036152;0,018318573;0,01103967;0,01079704;0,02183671;0,085284484;0,2973432;0,321120951;0,12022322
25;8600;0,121046512;0,018139535;0,009069767;0,011744186;0,023139535;0,089186047;0,292325581;0,317325581;0,118023256
26;8830;0,114835787;0,017440544;0,009739524;0,011325028;0,023556059;0,09592299;0,288448471;0,328992072;0,109739524
27;9156;0,117300131;0,017038008;0,009720402;0,01201398;0,024901704;0,099060725;0,282656182;0,325797291;0,111511577
28;9427;0,113822001;0,016654291;0,010077437;0,010819985;0,026095258;0,101622998;0,279622361;0,337328949;0,10395672
29;9670;0,108273009;0,01582213;0,010548087;0,010754912;0,026990693;0,107549121;0,277352637;0,352223371;0,090486039
30;9908;0,102240614;0,017157852;0,009890997;0,010698426;0,02977392;0,113140896;0,273112636;0,35870004;0,085284618
31;10211;0,104593086;0,015571443;0,009989227;0,011164431;0,027225541;0,118499657;0,269807071;0,362158457;0,080991088
32;10453;0,102362958;0,014923945;0,010140629;0,010618961;0,029847891;0,123026882;0,26824835;0,363245001;0,077585382
33;10735;0,101630182;0,015649744;0,00950163;0,011644155;0,029809036;0,127433628;0,274336283;0,359012576;0,070982767
34;11033;0,10314511;0,013686214;0,010967099;0,011420285;0,03181365;0,126892051;0,281065893;0,355841566;0,065168132
35;11297;0,099849518;0,016907143;0,008232274;0,011418961;0,035142073;0,130919713;0,285119943;0,350801098;0,061609277
36;11576;0,09873877;0,014771942;0,010020733;0,011489288;0,035072564;0,130355909;0,289651002;0,352194195;0,057705598
37;11833;0,097608383;0,013944055;0,009380546;0,011408772;0,037184146;0,135130567;0,284543227;0,358404462;0,052395842
38;12088;0,094060225;0,016379881;0,00843812;0,011250827;0,037723362;0,145102581;0,279119788;0,360522833;0,047402383
39;12350;0,092955466;0,014331984;0,009797571;0,011255061;0,039352227;0,149473684;0,279595142;0,36097166;0,042267206
40;12610;0,091593973;0,015226011;0,008406027;0,010864393;0,041633624;0,147977795;0,272561459;0,391276764;0,020459952
41;12876;0,090400746;0,013824169;0,009863312;0,010717614;0,042715129;0,15167754;0,269804287;0,396396396;0,014600808
42;13125;0,087085714;0,0144;0,009371429;0,010742857;0,042438095;0,159238095;0,273980952;0,380342857;0,0224
43;13411;0,087390948;0,013645515;0,009246141;0,011706808;0,04324808;0,161583775;0,276489449;0,371784356;0,024904929
44;13699;0,088181619;0,013869626;0,008540769;0,011387693;0,044309804;0,163807577;0,277538506;0,367326082;0,025038324
45;14003;0,089695065;0,012425909;0,009497965;0,01114047;0,045704492;0,162965079;0,28315361;0,359351568;0,026065843
46;14231;0,085166186;0,01377275;0,008783641;0,011032254;0,047150587;0,166889186;0,29105474;0,352540229;0,023610428
47;14499;0,08552314;0,012897441;0,008828195;0,012207738;0,047382578;0,167735706;0,296089385;0,353127802;0,016208014
