frame;frente
0;28,625
1;30,5
2;46,75
3;46
4;46,5
5;45,5
6;45,75
7;45,875
8;46,625
9;45,625
10;46,5
11;45,5
12;45,5
13;45,5
14;45,875
15;45,5
16;45,375
17;45,5
18;45,375
19;46,5
20;46
21;46,25
22;45,5
23;45,625
24;45,5
25;45
26;45,375
27;44,75
28;44,75
29;45,5
30;44,5
31;45,25
32;44,5
33;45,5
34;44,5
35;44,625
36;45,125
37;44,5
38;44,75
39;44,375
40;44,5
41;44,875
42;45
43;44,5
44;44,5
45;44,5
46;43,75
47;43,75
48;44,5
49;44,5
50;44,25
51;43,5
52;43,5
53;43,625
54;44,25
55;44,5
56;44,5
57;44,5
58;44,5
59;43,5
60;43,5
61;43,5
62;43,5
63;43,5
64;43,5
65;43,5
66;43,5
67;43,5
68;43,125
69;43,75
70;43,75
71;43,875
72;43,5
73;43,5
74;43,5
75;43,5
76;43,5
77;43,5
78;44
79;43,5
80;43,5
81;43,5
82;43,5
83;43,5
84;43,5
85;43,5
86;43,5
87;43,5
88;43,5
89;43,5
90;43,375
91;43,25
92;43,875
93;43,5
94;43,5
95;43,5
96;43,5
97;43,5
98;43
99;43
100;42,5
101;42,75
102;43,375
103;43,375
104;43
105;43,125
106;43
107;42,875
108;42,5
109;42,5
110;43
111;43
112;43
113;43
114;43
115;42,5
116;42,5
117;42,875
118;42,5
119;43
120;43
121;43
122;43
123;43
124;43
125;43
126;43
127;42,5
128;42,5
129;42,5
130;42,5
131;43
132;42,875
133;43
134;42,5
135;42,5
136;42,5
137;43
138;42,875
139;42,5
140;42,5
141;42,5
142;42,5
143;42,5
144;43
145;42,5
146;42,5
147;42,5
148;42,5
149;42,625
150;42,5
151;42,5
152;42,5
153;42,5
154;42,5
155;42,5
156;42,5
157;42,5
158;42,5
159;42,5
160;41,5
161;42,5
162;41,75
163;42,5
164;41,625
165;42,5
166;42,125
167;41,875
168;41,5
169;42
170;42
171;42,5
172;42,5
173;42,5
174;42,5
175;42,25
176;42,625
177;42,5
178;42,5
179;42,5
180;42,5
181;42,5
182;42,625
183;42,625
184;42,5
185;42,5
186;42,5
187;43
188;43
189;42,5
190;42,5
191;42,5
192;42,625
193;43
194;42,5
195;43
196;42,5
197;42,5
198;42,75
199;42,5
200;42,5
201;42,5
202;41,875
203;42,375
204;42,5
205;42,5
206;42
207;42
208;42
209;41,5
210;41,5
211;41,875
212;42
213;42
214;41,625
215;42
216;42
217;41,5
218;42
219;41,5
220;41,5
221;41
222;41,5
223;41,5
224;41,625
225;41,5
226;41,5
227;42
228;41,5
229;41
230;41
231;41
232;41
233;41
234;40,875
235;40,875
236;40,875
237;40,375
238;40,625
239;40,875
240;40,125
241;40,625
242;40,5
243;40,25
244;40,625
245;40,25
246;40,375
247;40,5
248;39,625
249;40,5
250;39,75
251;40
252;40,375
253;40
254;40,125
255;40
256;40
257;40
258;40
259;40
260;40
261;39,875
262;40
263;40
264;39,875
265;40
266;39,875
267;39,5
268;39,625
269;40
270;39,5
271;39,625
272;40
273;39,5
274;39,5
275;39,875
276;40
277;39,5
278;39,5
279;39,75
280;39,75
281;39,5
282;39,5
283;39,5
284;39,625
285;39,125
286;39,5
287;39,5
288;39,25
289;39
290;39
291;39,25
292;39,25
293;39,125
294;39
295;39,125
296;39,125
297;39,125
298;39
299;39
300;39
301;39
302;39,125
303;38,875
304;38,875
305;39
306;38,75
307;38,625
308;38,75
309;38,5
310;38,875
311;39
312;38,75
313;38,625
314;38,625
315;38,5
316;38,5
317;38,75
318;38,5
319;38,75
320;38,625
321;38,5
322;38,5
323;38,75
324;38,5
325;38,625
326;38,625
327;38,5
328;38,5
329;38,5
330;38,5
331;38,75
332;38,625
333;38,5
334;38,5
335;38,5
336;38,625
337;38,25
338;38,375
339;38,375
340;38,5
341;38,5
342;38,5
343;38,25
344;38,25
345;38,25
346;38
347;38,5
348;38,5
349;38,5
350;38,125
351;38
352;38,125
353;38
354;38
355;38
356;38,375
357;38,25
358;38
359;38,25
360;37,5
361;38
362;38
363;38
364;38
365;38,125
366;38,375
367;38
368;37,5
369;37,5
370;38
371;38
372;37,75
373;37,5
374;37,5
375;37,5
376;37,5
377;37,875
378;38
379;38
380;38
381;37,5
382;37,5
383;37,5
384;37,5
385;37,5
386;37,5
387;37,75
388;37,875
389;37,875
390;37,5
391;37,5
392;37,5
393;37,5
394;37,5
395;37,5
396;37,5
397;37,5
398;37,625
399;37,25
400;37,5
401;37,375
402;37,5
403;37,375
404;37,5
405;37,5
406;37,5
407;37,5
408;37
409;37
410;37
411;37
412;37,125
413;37,25
414;37,125
415;37,25
416;37,25
417;37,125
418;36,625
419;36,75
420;37
421;36,875
422;37
423;37
424;37
425;37
426;37
427;36,5
428;36,5
429;36,5
430;36,5
431;36,625
432;36,875
433;36,75
434;37
435;37
436;37
437;36,5
438;36,5
439;36,5
440;36,5
441;36,5
442;36,5
443;36,5
444;36,5
445;36,5
446;36,5
447;36,5
448;36,5
449;36,25
450;36,25
451;36,375
452;36,5
453;36,5
454;36,5
455;36,5
456;36,5
457;36,5
458;36,5
459;36
460;36
461;36
462;36
463;36
464;36
465;36
466;36
467;36
468;36
469;36
470;36
471;35,5
472;35,5
473;35,625
474;35,625
475;36
476;36
477;36
478;36
479;36
480;36
481;36
482;36
483;35,5
484;35,5
485;35,5
486;35,5
487;35,5
488;35,5
489;35,5
490;35,5
491;35,5
492;35,5
493;35,5
494;35,5
495;35,125
496;35,5
497;35,375
498;35,5
499;35,5
500;35,5
501;35,5
502;35,5
503;35,5
504;35,5
505;35,5
506;35,5
507;35,5
508;35,125
509;35
510;35
511;35
512;35
513;35
514;35
515;35
516;35,125
517;35,125
518;35,125
519;35,125
520;35,125
521;34,5
522;34,5
523;34,5
524;34,875
525;35
526;34,875
527;34,875
528;35
529;35
530;35
531;35
532;35
533;35
534;34,75
535;34,5
536;34,5
537;34,5
538;34,5
539;34,5
540;34,5
541;34,5
542;34,5
543;34,5
544;34,5
545;34,5
546;34,5
547;34,5
548;34,125
549;34
550;34,25
551;34,375
552;34,375
553;34,5
554;34,5
555;34,5
556;34,5
557;34,5
558;34,5
559;34,5
560;34,5
561;34,5
562;34
563;33,875
564;34
565;34
566;34
567;34
568;34
569;34
570;34
571;34
572;34
573;34
574;34
575;34
576;34
577;33,625
578;33,5
579;33,5
580;33,5
581;33,5
582;33,625
583;33,75
584;33,75
585;33,75
586;33,875
587;33,75
588;34
589;34
590;34
591;33,25
592;33,25
593;33,5
594;33,5
595;33,5
596;33,5
597;33,5
598;33,5
599;33,5
600;33,5
601;33,5
602;33,5
603;33,5
604;33,25
605;33,125
606;32,875
607;33,5
608;33,375
609;33
610;33,125
611;33,5
612;33,5
613;33,5
614;33,5
615;33,5
616;33,5
617;33,5
618;32,625
619;32,75
620;32,875
621;33
622;33
623;33
624;33
625;33
626;33
627;33
628;35,5
629;33
630;33
631;32,625
632;32,625
633;32,5
634;32,625
635;32,875
636;33
637;33
638;33
639;33
640;33
641;33
642;33
643;33
644;33
645;33
646;33
647;32,25
648;32,25
649;32,125
650;32,375
651;32,25
652;32,5
653;32,5
654;32,5
655;32,5
656;32,5
657;32,625
658;32,5
659;32,5
660;32,5
661;32,625
662;32,375
663;32,125
664;32
665;32
666;32
667;32
668;32,125
669;32,5
670;32,5
671;32,5
672;32,5
673;32,5
674;32,5
675;32,5
676;32,5
677;32,5
678;32,5
679;32
680;32
681;32
682;32
683;32
684;32
685;32
686;32
687;32
688;32
689;32
690;32
691;32
692;32
693;32
694;32
695;32
696;31,75
697;31,625
698;31,5
699;31,5
700;31,625
701;31,625
702;31,5
703;31,5
704;32
705;32
706;32
707;32
708;32
709;32
710;32
711;32
712;32
713;32
714;31,5
715;31,625
716;31,25
717;31,375
718;31,25
719;31,5
720;31,375
721;31,5
722;31,5
723;31,5
724;31,5
725;31,5
726;31,5
727;31,5
728;31,5
729;31,5
730;31,5
731;31,625
732;31,375
733;31,25
734;31
735;31
736;31
737;31
738;31
739;31
740;31,25
741;31,375
742;31,5
743;31,5
744;31,5
745;31,25
746;31,5
747;31,5
748;31,5
749;31,5
750;31,5
751;31,5
752;31,125
753;31
754;31
755;31
756;31
757;31
758;31
759;31
760;31
761;31
762;31
763;31
764;31
765;31
766;31
767;31
768;31
769;31
770;31
771;31
772;31,125
773;30,75
774;30,625
775;30,75
776;30,75
777;30,75
778;30,75
779;30,625
780;31
781;30,75
782;31
783;31
784;31
785;31
786;31
787;31
788;31
789;31
790;31
791;31
792;30,875
793;30,625
794;30,625
795;30,5
796;30,5
797;30,5
798;30,625
799;30,5
800;30,625
801;30,625
802;30,5
803;30,75
804;30,75
805;30,75
806;31
807;31
808;31
809;31
810;31
811;31
812;31
813;31
814;31
815;30,375
816;30,625
817;30,625
818;30,375
819;30,375
820;30,375
821;30,125
822;30,375
823;30,25
824;30,25
825;30,5
826;30,25
827;30,5
828;30,5
829;30,5
830;30,5
831;30,5
832;30,5
833;30,5
834;30,5
835;30,5
836;30,5
837;30,5
838;30,25
839;30,25
840;30
841;30
842;30
843;30
844;30
845;30
846;30
847;30
848;30
849;30
850;30
851;30
852;30
853;30
854;30
855;30
856;30,125
857;30,375
858;30
859;30,25
860;30
861;30,375
862;30
863;30,125
