tf;av;max;tc;cp
0;27,4;29,9;0;27,3
1;27,8;32,2;1;27,3
2;34,4;48,8;2;27,4
3;47,7;51,6;3;27,7
4;50,3;52;4;28,3
5;50,7;52,3;5;38,2
6;51,2;52,6;6;47,6
7;51,7;52,8;7;51,1
8;52;52,9;8;52,8
9;52,1;52,9;9;53,9
10;52,2;52,9;10;54,5
11;52,3;53;11;54,9
12;52,4;53,1;12;55,1
13;52,4;53,1;13;55,5
14;52,1;52,8;14;55,5
15;51,9;52,5;15;55,2
16;52,1;52,8;16;55,6
17;52,3;52,9;17;55,8
18;52,4;53;18;55,8
19;52,4;53;19;55,8
20;52,3;52,8;20;55,9
21;52,2;52,7;21;55,9
22;52,1;52,4;22;55,7
23;52,2;52,6;23;55,7
24;52,2;52,7;24;55,8
25;52,3;52,8;25;55,7
26;52,3;52,7;26;55,6
27;52,2;52,6;27;55,6
28;52,2;52,7;28;55,5
29;52,1;52,7;29;55,5
30;52;52,4;30;55,4
31;51,9;52,3;31;55,4
32;51,8;52,2;32;55,3
33;51,7;52,3;33;55,2
34;51,6;52,2;34;55,2
35;51,5;52,2;35;55,2
36;51,4;52,2;36;55,1
37;51,3;52,2;37;55,1
38;51,2;52,2;38;55,2
39;51,2;52,1;39;55,2
40;51,2;51,9;40;55,2
41;51,1;51,7;41;55,2
42;51;51,6;42;55,2
43;50,8;51,4;43;55,1
44;50,9;51,7;44;55,2
45;51;51,8;45;55,2
46;51,1;51,9;46;55,2
47;51;51,7;47;55,1
48;51;51,6;48;55
49;50,9;51,5;49;54,7
50;50,9;51,5;50;55
51;50,8;51,5;51;55
52;50,9;51,6;52;55,1
53;50,8;51,4;53;55
54;50,8;51,3;54;55
55;50,9;51,5;55;55
56;50,9;51,5;56;54,9
57;50,9;51,5;57;54,9
58;50,7;51,5;58;54,8
59;50,8;51,6;59;54,8
60,034;50,8;51,7;60;54,9
61,034;50,8;52,3;61;54,9
62,034;50,7;51,9;62;54,9
63,034;50,7;51,5;63;54,9
64,034;50,4;51,4;64;54,8
65,034;50,3;51,3;65;54,8
66,034;50,4;50,9;66;54,7
67,034;50,1;50,7;67;54,6
68,034;50,2;50,8;68;54,4
69,034;49,9;50,7;69;54,2
70,034;50;50,8;70;54
71,034;49,9;50,8;71;53,6
72,034;49,7;50,6;72;53,2
73,034;49,7;50,5;73;52,7
74,067;49,8;50,7;74;52,4
75,067;49,8;50,7;75;52,3
76,067;49,6;50,7;76;52,2
77,067;49,6;50,6;77;52
78,067;49,5;50,4;78;52
79,067;49,5;50,4;79;52
80,067;49,3;50,3;80;52
81,067;49,2;50,2;81;51,9
82,067;49,2;50;82;51,8
83,067;49;49,8;83;51,8
84,067;48,9;49,8;84;51,8
85,067;48,8;49,6;85;51,5
86,067;48,8;49,5;86;51,6
87,067;48,7;49,5;87;51,7
88,067;48,8;49,3;88;51,6
89,067;48,8;49,3;89;51,7
90,067;48,6;49,1;90;51,7
91,067;48,5;49;91;51,6
92,067;48,4;49;92;51,6
93,067;48,4;49;93;51,6
94,067;48,3;48,9;94;51,7
95,067;48,2;48,8;95;51,8
96,067;48,3;49;96;52
97,067;48,5;49;97;52
98,067;48,3;48,8;98;52,2
99,067;48,4;48,8;99;52,3
100,067;48,6;48,9;100;52,4
101,067;48,7;49,1;101;52,4
102,067;48,6;49;102;52,3
103,067;48,7;49,1;103;52,5
104,067;48,7;49;104;52,9
105,067;48,7;48,9;105;52,9
106,067;48,6;48,9;106;53
107,067;48,6;48,9;107;53,2
108,067;48,7;49,1;108;53,2
109,067;48,7;49,1;109;53,2
110,067;48,9;49,2;110;53,2
111,067;49,1;49,4;111;53,2
112,067;49,3;49,6;112;53,1
113,067;49,5;49,9;113;53,3
114,067;49,7;50;114;53,5
115,067;49,7;50,1;115;53,6
116,067;49,7;50,1;116;54
117,067;49,7;50;117;54,1
118,067;49,7;50;118;54,7
119,067;49,6;49,9;119;55
120,067;49,7;49,9;120;55,2
121,067;49,7;50;121;55,3
122,067;49,8;50,1;122;55,2
123,1;49,7;50,1;123;55,2
124,1;49,8;50;124;55,4
125,1;49,9;50,4;125;55,4
126,1;50,1;50,8;126;55,5
127,1;50,4;51,2;127;55,5
128,1;50,6;51,3;128;55,5
129,1;50,8;51,5;129;55,7
130,1;50,9;51,5;130;55,8
131,1;51;51,5;131;55,6
132,1;51,1;51,6;132;55,6
133,1;51;51,7;133;55,5
134,1;50,8;51,4;134;55,5
135,1;51;51,6;135;55,5
136,1;50,9;51,5;136;55,6
137,1;51;51,3;137;55,5
138,1;50,9;51,5;138;55,4
139,1;51;51,4;139;55,2
140,1;50,8;51,3;140;55
141,1;50,6;51,2;141;54,9
142,1;50,8;51,3;142;55,1
144,567;50,6;51,2;143;55,1
145,567;50,8;51,1;144;55,1
146,567;50,9;51,3;145;55,2
147,567;50,8;51,1;146;55,1
148,567;50,9;51,1;147;55,1
149,567;50,8;51,1;148;54,7
150,567;50,8;51;149;54,1
151,567;50,7;51;150;54,4
152,567;50,5;50,9;151;54,8
153,567;50,6;50,9;152;54,9
154,567;50,5;50,8;153;54,8
155,567;50,4;50,7;154;54,8
156,567;50,3;50,6;155;54,7
157,567;50,1;50,5;156;54,7
158,567;50;50,4;157;54,6
159,567;49,6;50,1;158;54,6
160,567;49,5;50,1;159;54,6
161,567;49,2;50,1;160;54,5
162,567;49,1;50,1;161;54,5
163,567;49,1;49,9;162;54,5
164,567;49,4;49,9;163;54,4
165,567;50;50,2;164;54,4
166,567;49,8;50,3;165;54,4
167,6;49,6;50,2;166;54,2
168,6;50;50,7;167;54,3
169,6;50,5;51,1;168;54,3
170,6;50,7;51;169;54
171,6;50,7;51,2;170;53,5
172,6;50,2;51,1;171;52,8
173,6;49,5;50,9;172;52,2
174,6;49,1;50,5;173;51,9
175,6;49,1;50,4;174;51,5
176,6;48,8;50,2;175;51,3
177,6;48,7;50,1;176;51,1
178,6;48,6;50,2;177;51
