Omega RDXL6SD Serial No. 002006 - Logged Data
Date:,30-09-16
Time:,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,
,,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,
12:07:16,0,  23.8,  23.8,  23.6,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:17,1,  23.9,  23.8,  23.6,  24.3, 850.0, 850.0,  26.6,  26.9,  27.3,  28.1,
12:07:18,2,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:19,3,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.2,  28.1,
12:07:20,4,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.2,  28.1,
12:07:21,5,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:22,6,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:23,7,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:24,8,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.6,  26.9,  27.3,  28.1,
12:07:25,9,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:26,10,  23.8,  23.8,  23.7,  24.4, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:27,11,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.6,  26.9,  27.3,  28.1,
12:07:28,12,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.6,  26.9,  27.3,  28.1,
12:07:29,13,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.2,
12:07:30,14,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:31,15,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:32,16,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:33,17,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:34,18,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.3,  28.1,
12:07:35,19,  23.9,  23.8,  23.7,  24.3, 850.0, 850.0,  26.6,  26.9,  27.3,  28.1,
12:07:36,20,  23.8,  23.8,  23.7,  24.3, 850.0, 850.0,  26.5,  26.9,  27.2,  28.1,
12:07:37,21,  23.8,  23.8,  23.7,  24.4, 850.0, 850.0,  26.5,  26.9,  27.3,  28.2,
12:07:38,22,  23.8,  23.8,  23.6,  24.3, 850.0, 850.0,  26.5,  26.9,  27.2,  28.1,
