FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9
0;935;0,4;0,115508021;0,053475936;0,111229947;0,155080214;0,164705882;0;0;0
1;1048;0,296755725;0,074427481;0,052480916;0,164122137;0,170801527;0,155534351;0,02480916;0,061068702;0
2;1357;0,239498895;0,053795136;0,039056743;0,075165807;0,13559322;0,108327192;0,050847458;0,25055269;0,047162859
3;1735;0,206916427;0,043804035;0,029971182;0,043227666;0,068587896;0,044956772;0,069164265;0,41556196;0,077809798
4;2210;0,195022624;0,046153846;0,018099548;0,021719457;0,018099548;0,042533937;0,071945701;0,452488688;0,133936652
5;2709;0,171650055;0,042081949;0,016980436;0,019195275;0,018456995;0,041343669;0,080103359;0,488002953;0,122185308
6;3132;0,151979566;0,036717752;0,013729246;0,020753512;0,013090677;0,04054917;0,089719029;0,510217114;0,123243934
7;3572;0,140257559;0,038633819;0,011478163;0,015117581;0,015397536;0,036674132;0,099104143;0,48656215;0,156774916
8;4784;0,133361204;0,035117057;0,010242475;0,012541806;0,012959866;0,035117057;0,110994983;0,445861204;0,203804348
9;5223;0,13804327;0,032356883;0,009764503;0,013785181;0,011870572;0,030442275;0,114302125;0,446103772;0,203331419
10;5544;0,120851371;0,02958153;0,012085137;0,012806638;0,011544012;0,032828283;0,132395382;0,451479076;0,196428571
11;5945;0,118587048;0,030277544;0,009756098;0,012952061;0,012615643;0,03431455;0,137426409;0,442052145;0,202018503
12;6404;0,124453467;0,02857589;0,009993754;0,013741412;0,011242973;0,035290443;0,130699563;0,437695191;0,208307308
13;6758;0,116602545;0,028410772;0,010802012;0,011837822;0,012725658;0,03788103;0,131695768;0,444214265;0,205830127
14;7094;0,112066535;0,026501269;0,011277136;0,010572315;0,013532563;0,03763744;0,135889484;0,45531435;0,197208909
15;7485;0,116366065;0,025517702;0,010153641;0,013360053;0,010420842;0,038476954;0,13747495;0,454509018;0,192785571
16;7781;0,111939339;0,025703637;0,010024418;0,011952191;0,010924046;0,040997301;0,140727413;0,448014394;0,198432078
