;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
0;0;71073;0,995764918;0,0025466770000000002;0.000801992;0.000886413;0;0;0;0;0;0;0,06967258111949809
1;1;50300;0,992982107;0,0032405570000000002;0.001053678;0.001789264;0.000934394;0;0;0;0;0;0,04930889128516812
2;2;66877;0,993929154;0,002362546;0.000747641;0.001151367;0.000927075;0.000882217;0;0;0;0;0,06555925889618665
3;3;65104;0,99231998;0,002595847;0.000675842;0.001336323;0.001059843;0.001950725;6,14E-05;0;0;0;0,06382119400058818
4;4;57375;0,989577342;0,003050109;0.000958606;0.001359477;0.001202614;0.002283224;0.001568627;0;0;0;0,05624448583472209
5;5;60938;0,988644196;0,0029866420000000003;0.000935377;0.00132922;0.000984607;0.002051265;0.002510749;0.000557944;0;0;0,05973728065875895
6;6;66333;0,988271298;0,0027135809999999996;0.000889452;0.001236187;0.000874376;0.001733677;0.002638204;0.001643224;0;0;0,06502597784530928
7;7;67418;0,9870954340000001;0,002847904;0.00078614;0.001275624;0.000667478;0.001735442;0.002580913;0.002032098;0.000978967;0;0,06608959905891579
8;8;72656;0,986787051;0,002573772;0.000825809;0.001046025;0.0008671;0.001445166;0.002229685;0.001954415;0.002270976;0;0,07122438976570925
9;9;56997;0,9817183359999999;0,0034036879999999998;0.001000053;0.001508851;0.00080706;0.001947471;0.002772076;0.002298367;0.003772128;0.00077197;0,05587393392804627
10;10;66092;0,983038794;0,003010954;0.000862434;0.001225564;0.00072626;0.001603825;0.00249652;0.001845912;0.003631302;0.001558434;0,06478972649740221
11;11;63291;0,981166359;0,003065207;0.000869002;0.001232403;0.000853202;0.001627404;0.002417405;0.001880204;0.004313409;0.002575406;0,06204391726301343
12;12;81879;0,9842328309999999;0,0026746779999999998;0.000647297;0.000952625;0.000635083;0.001209101;0.001770906;0.001587709;0.003529599;0.002711318;0,08026566022938927
13;13;54654;0,9753906390000001;0,003604494;0.001042925;0.001372269;0.001024628;0.001756505;0.002653054;0.002451788;0.005818421;0.004812091;0,053577100284285854
14;14;75019;0,980911502;0,0027992909999999998;0.000879777;0.000933097;0.000679828;0.001266346;0.001919514;0.001746224;0.004692145;0.003839027;0,0735408293304578
15;15;56158;0,973396488;0,0036860290000000004;0.000925959;0.001531394;0.000908152;0.001460166;0.002635421;0.002492966;0.006980306;0.005537947;0,055051465542593866
16;16;54761;0,971384745;0,0039261520000000005;0.000949581;0.001351327;0.000894797;0.001753072;0.002593086;0.002757437;0.007687953;0.006062709;0,053681991961572396
17;17;43221;0,962356262;0,004511696;0.001295666;0.001804678;0.001226256;0.002036047;0.00328544;0.003725041;0.01082807;0.007959094;0,042369375551416524
18;18;68049;0,9747534859999999;0,003086012;0.000720069;0.001205014;0.000617202;0.001351967;0.002160208;0.002410028;0.00727417;0.005569516;0,06670816586609156
19;19;79978;0,9759183779999999;0,0027507559999999996;0.000625172;0.000887744;0.000562655;0.001112806;0.001812999;0.002463177;0.007814649;0.005689064;0,07840211743946672
20;20;68591;0,9709874470000001;0,003265735;0.000787275;0.000903909;0.000583167;0.001399601;0.002128559;0.003134522;0.009884679;0.006852211;0,0672394863248701
21;21;67484;0,969726157;0,00327485;0.000637188;0.000963191;0.000592733;0.001511469;0.002296841;0.003334124;0.010935926;0.006727521;0,06615429859817665
22;22;65115;0,9677186520000001;0,00348614;0.000675728;0.000982876;0.000614298;0.001397527;0.002533978;0.003900791;0.012163096;0.006526914;0,06383197725713165
23;23;45841;0,9534696009999999;0,004690125;0.000959839;0.001461574;0.000828952;0.002050566;0.003773914;0.005911738;0.018455095;0.008398595;0,04493775120086266
24;24;55353;0,960453815;0,0040467540000000005;0.000903293;0.000957491;0.000812964;0.001734323;0.003197659;0.005221036;0.016042491;0.006630174;0,054262327222821295
25;25;54016;0,9587899879999999;0,004035841;0.000740521;0.001203347;0.000647956;0.00183279;0.003498963;0.005590936;0.017531842;0.006127814;0,05295167140476424
26;26;57877;0,960554279;0,00374933;0.000794789;0.001036681;0.000863901;0.001382242;0.003524716;0.005511689;0.017122518;0.005459855;0,05673659445152436
27;27;58094;0,9596171720000001;0,003924674;0.000550831;0.001153303;0.000722966;0.001549213;0.003425483;0.005990292;0.01745447;0.005611595;0,05694931869424566
28;28;58911;0,9591587309999999;0,0036835229999999997;0.000882687;0.000729915;0.00067899;0.001578653;0.003581674;0.006229736;0.017772572;0.005703519;0,05775022056661112
29;29;61397;0,959639722;0,0035018000000000002;0.000781797;0.000781797;0.000684073;0.001482157;0.003257488;0.006514976;0.017769598;0.005586592;0,06018723654543672
30;30;51103;0,949963799;0,004520283;0.000665323;0.000939279;0.000724028;0.001917696;0.003991938;0.008453515;0.022151341;0.006672798;0,05009606901284188
31;31;48159;0,945555348;0,004402085;0.00091364;0.001017463;0.000809817;0.001764987;0.004713553;0.009074109;0.02473058;0.007018418;0,047210077443387906
32;32;60641;0,955310763;0,003743342;0.000527696;0.000824525;0.000692601;0.001385201;0.003545456;0.007635098;0.020514174;0.005821144;0,05944613273208509
33;33;45167;0,938472779;0,004892953;0.000752762;0.000996303;0.000730622;0.002081165;0.004959373;0.011070029;0.028671375;0.007372639;0,044277031663562394
34;34;50232;0,942865106;0,004499124;0.000796305;0.000955566;0.000696767;0.001692148;0.004797738;0.010312152;0.026815576;0.006569517;0,04924223115380845
35;35;48675;0,939558295;0,004581407;0.000780688;0.001109399;0.000657422;0.001725732;0.005156651;0.011443246;0.02886492;0.006122239;0,047715910204881876
36;36;53645;0,9436666979999999;0,004212881;0.000801566;0.000894771;0.000596514;0.001547209;0.004977165;0.010569485;0.027253239;0.005480473;0,05258798157043427
37;37;53008;0,941499396;0,0043389679999999995;0.000679143;0.000999849;0.000735738;0.001622397;0.005036976;0.011224721;0.028391941;0.005470872;0,05196353298696206
38;38;50514;0,937066952;0,004632379;0.000593895;0.001069011;0.00073247;0.001761888;0.005562814;0.012511383;0.030407412;0.005661797;0,0495186746397412
39;39;54934;0,94045582;0,004277861;0.000855572;0.000964794;0.000564314;0.001547311;0.005260858;0.012123639;0.028415917;0.005533913;0,05385158317811979
40;40;66249;0,949297348;0,00366798;0.000754728;0.000769823;0.000467932;0.0013887;0.004226479;0.010581292;0.023879606;0.004966113;0,0649436329771591
41;41;57705;0,9406290620000001;0,004124426;0.000745169;0.001022442;0.000589204;0.001490339;0.005354822;0.012945152;0.027415302;0.005684083;0,05656798353102637
42;42;56714;0,93803999;0,00446098;0.000705293;0.000934514;0.000916881;0.001322425;0.005818669;0.014105865;0.02761223;0.006083154;0,055596510146064114
43;43;48583;0,926311673;0,00512525;0.000885083;0.000967417;0.000761583;0.002305333;0.006854249;0.018360332;0.031410164;0.007018916;0,047625722968336434
44;44;54506;0,932833083;0,004531611;0.000770557;0.001119143;0.000623785;0.001724581;0.006531391;0.017429274;0.027868492;0.006568084;0,05343201646897363
45;45;55026;0,932104823;0,004434267;0.000872315;0.001054047;0.000690583;0.001653764;0.006760441;0.017955148;0.02793225;0.006542362;0,053941770414665226
46;46;51849;0,9265366740000001;0,004918128;0.000810045;0.001002912;0.000829331;0.001832244;0.007425408;0.020173967;0.029258038;0.007213254;0,05082736986569944
47;47;48968;0,920723738;0,005105375;0.000980232;0.001286554;0.000714752;0.002021728;0.008413658;0.022218592;0.030918151;0.007617219;0,048003136947358103
48;48;59017;0,9330193000000001;0,00440551;0.000762492;0.0010336;0.000609994;0.001660538;0.006930207;0.01916397;0.026094176;0.006320213;0,05785413194784825
49;49;59594;0,932560325;0,0042621740000000005;0.000839011;0.001006813;0.000738329;0.0016109;0.007198711;0.019666409;0.02599255;0.006124778;0,058419762768356046
50;50;64144;0,9360813170000001;0,0043963579999999995;0.000576827;0.000966575;0.000530057;0.001683712;0.006953106;0.018988526;0.024024071;0.005799451;0,06288010979315753
51;51;55998;0,92572949;0,004875174;0.000732169;0.00112504;0.000696453;0.001964356;0.00844673;0.02292939;0.027125969;0.006375228;0,054894618174688756
52;52;56816;0,925813151;0,0043649679999999995;0.00103844;0.001020839;0.000721628;0.002024078;0.008641932;0.023391298;0.026471417;0.00651225;0,05569650034310362
53;53;65781;0,93470759;0,004013317;0.0007753;0.001018531;0.000684088;0.001535398;0.007874614;0.020613855;0.022742129;0.006035177;0,06448485442603666
54;54;51359;0,915224206;0,0051792290000000005;0.000759361;0.001148776;0.000934598;0.002180728;0.010903639;0.026908624;0.028972527;0.007788314;0,05034702480149005
55;55;46765;0,905442104;0,005345878;0.001176093;0.001475462;0.000769806;0.002523255;0.012808724;0.030107987;0.031668983;0.008681706;0,04584354475051466
56;56;46688;0,903765422;0,005333276;0.001135195;0.001263708;0.001092358;0.002420322;0.013622344;0.030457505;0.032235264;0.008674606;0,04576806195471032
57;57;51731;0,911561733;0,005199977;0.000792562;0.001237169;0.000947208;0.002339023;0.012622992;0.027758984;0.029402099;0.008138254;0,050711694931869424
58;58;49626;0,906339419;0,005400395;0.000926933;0.001350099;0.000785878;0.002619595;0.013944303;0.029258856;0.031495587;0.007878934;0,048648171747867855
59;59;46843;0,899430011;0,005251585;0.001387614;0.001344918;0.000982004;0.003010055;0.01549858;0.031082552;0.03385778;0.0081549;0,045920007842368396
60;60;52086;0,907748723;0,00508774;0.001036747;0.001228737;0.000998349;0.002438275;0.014552855;0.027800177;0.031505587;0.007602811;0,051059700029408885
