;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
0;0;1247;0,38171611899999996;0,036888532;0,016038491999999998;0,018444266;0.009623095;0.02085004;0.034482759;0.128307939;0,35364875700000004;0;0,0012224291736104304
1;1;1390;0,34892086299999997;0,041007194;0,015107913999999998;0,015107913999999998;0.017985612;0.023021583;0.039568345;0.218705036;0,28057554;0;0,00136261150867562
2;2;1511;0,32428855100000004;0,033090668;0,019192588;0,018530774;0.013898081;0.025148908;0.045003309;0.31833223;0,202514891;0;0,0014812273306538575
3;3;1635;0,31009174300000003;0,032415902;0,015902141;0,018348623999999997;0.014678899;0.028746177;0.060550459;0.380428135;0,13883792;0;0,0016027840407803156
4;4;1745;0,290544413;0,032664756;0,014326648;0,017765043;0.013180516;0.033810888;0.073352436;0.424068768;0,10028653300000001;0;0,001710616606215077
5;5;1848;0,287337662;0,029761905;0,013528139;0,014069264;0.017857143;0.03517316;0.073593074;0.439393939;0,089285714;0;0,0018115870993039899
6;6;1907;0,279496592;0,025170425;0,017304667;0,017829051000000002;0.013109596;0.035133718;0.0844258;0.446775039;0,080755113;0;0,001869424566218998
7;7;1969;0,26968004100000004;0,033011681;0,014220416000000001;0,015744033;0.015744033;0.038090401;0.092432707;0.439309294;0,081767395;0;0,0019302029212822272
8;8;2031;0,268340719;0,028064992999999996;0,013293943999999999;0,016740522;0.014771049;0.040866568;0.096504185;0.432791728;0,088626292;0;0,0019909812763454562
9;9;2089;0,261847774;0,025370991000000002;0,012924844;0,022020105;0.012924844;0.039731929;0.108185735;0.415031115;0,101962662;0;0,002047838447211058
10;10;2154;0,255338904;0,032033426000000004;0,008820799;0,017641597;0.014856082;0.044103993;0.115134633;0.396471681;0,115598886;0;0,002111557690422508
11;11;2219;0,247859396;0,027039207000000003;0,017575484;0,013970257;0.012618297;0.046417305;0.126182965;0.38305543;0,12528165800000002;0;0,0021752769336339573
12;12;2306;0,246747615;0,030789245;0,009973981;0,018647008;0.014744146;0.03859497;0.139202082;0.365134432;0,13616652199999998;0;0,0022605626899323598
13;13;2363;0,239102835;0,030892932999999997;0,010579771000000002;0,012272535;0.015658062;0.046127804;0.140922556;0.35971223;0,144731274;0;0,002316439564748554
14;14;2415;0,23478260899999998;0,021118012000000002;0,013664596000000001;0,020289855;0.012008282;0.045548654;0.146583851;0.352380952;0,153623188;0;0,002367414959317714
15;15;2495;0,232064128;0,026052104;0,013226453;0,01242485;0.018036072;0.043286573;0.149098196;0.354709419;0,151102204;0;0,0024458386432702674
16;16;2561;0,22998828600000001;0,024209293;0,010933229;0,014837953999999999;0.015618899;0.045294807;0.147989067;0.358844201;0,152284264;0;0,0025105381825311244
17;17;2620;0,221755725;0,024427481;0,013358779;0,015648855;0.015267176;0.043129771;0.155725191;0.358778626;0,151908397;0;0,0025683756494461326
