;FLIR: tiempo;FLIR: area;FLIR: rango 1;FLIR: rango 2;FLIR: rango 3;FLIR: rango 4;FLIR: rango 5;FLIR: rango 6;FLIR: rango 7;FLIR: rango 8;FLIR: rango 9;FLIR: rango 10;FLIR: area m2
0;0;4937;0,726554588;0,018634798;0.01033016;0.010735264;0.006886773;0.010735264;0.019242455;0.073526433;0.123354264;0;0,004839721595921969
1;1;5700;0,698596491;0,019298246;0.010175439;0.009649123;0.007368421;0.01;0.020175439;0.075614035;0.126140351;0.022982456;0,005587687481619449
2;2;5746;0,639227289;0,021406196000000002;0.010616081;0.010616081;0.008179603;0.011312217;0.022972503;0.07831535;0.165854507;0.031500174;0,005632781099892167
3;3;6372;0,617859385;0,019303202;0.012397991;0.008788449;0.008474576;0.011142498;0.023854363;0.075015694;0.190364093;0.032799749;0,0062464464268209
4;4;6770;0,5903988179999999;0,020679468;0.011521418;0.010044313;0.008567208;0.011669129;0.023485968;0.076661743;0.21521418;0.031757755;0,006636604254484854
5;5;7425;0,583569024;0,020606061000000002;0.011447811;0.00969697;0.007676768;0.010909091;0.022222222;0.083771044;0.218855219;0.031245791;0,0072786981668463875
6;6;7584;0,546677215;0,020701477;0.011471519;0.011735232;0.00646097;0.011603376;0.022943038;0.097441983;0.233386076;0.037579114;0,007434565238702088
7;7;7654;0,506271231;0,020904102;0.012673112;0.010452051;0.006924484;0.013718317;0.023125163;0.116017768;0.249542723;0.040371048;0,0075031859621605725
8;8;8111;0,49180125799999996;0,020466033999999998;0.012698804;0.009986438;0.007150783;0.013808408;0.023424978;0.124029096;0.255332265;0.041301936;0,007951181256739536
9;9;8246;0,45804026200000003;0,021707495;0.011399466;0.011642008;0.008367693;0.012248363;0.027771041;0.136793597;0.265947126;0.046082949;0,00808352122340947
10;10;8686;0,44934377200000003;0,021989408;0.011512779;0.010706885;0.008404329;0.012779185;0.028321437;0.146672807;0.263412388;0.046857011;0,008514851485148515
11;11;8941;0,42992953799999994;0,020803042;0.013085785;0.009283078;0.008723856;0.014092383;0.029974276;0.159713679;0.265071021;0.049323342;0,008764826977747279
12;12;9107;0,405402438;0,020643461000000002;0.012957066;0.010102119;0.008784452;0.013286483;0.032502471;0.175908642;0.266827715;0.053585154;0,00892755612194883
13;13;9820;0,412321792;0,020977597;0.011710794;0.011099796;0.007331976;0.013849287;0.030549898;0.172505092;0.262118126;0.057535642;0,009626507205175962
