nombre;v1;v2;t*;L*
5cc50C;0,0012927;0,0000808;342,733;0,45
1cc54C;0,0002605;0;1708,967;0,417
25cc54C;0,0044526;0,0000582;78,967;0,35
10cc60C;0,0028617;0,000211;152,867;0,432
25cc60C;0,0048983;0,0000383;88,233;0,379
1cc59C;0,0001732;0;1712,233;0,278
1cc47C;0,000199;0;1609,6;0,338
1cc55C;0,0002515;0,0000659;1268,933;0,338
25cc58C;0,0046192;0,0000527;77,267;0,35
25cc70C;0,0045732;0,0001096;74,167;0,36
10cc67C;0,0019101;0,0000494;173,5;0,314
10cc59C;0,0017967;0,0000596;146,4;0,266
5cc63C;0,000953;0,0000531;293,833;0,29
5cc59C;0,0010867;0,0000329;375,333;0,335
25cc62C;0,0043246;0,000433;95,7;0,367
10cc49C;0,0019001;0,0000597;179,333;0,318
1cc62C;0,0002317;0;1597,2;0,367
5cc53C;0,0008862;0,0000627;293,1;0,271
5a25cc56C;0,0012686;0,0000664;207,567;0,288
5cc57C;0,0009808;0,0000653;291,267;0,294
25cc50C;0,0027493;0,0000534;83,133;0,24
10cc55C;0,0020716;0,0000018;157,967;0,35
10cc57C;0,0022822;0,0000045;133,417;0,32
10cc24C;0,0015006;0,0000009;1056,5;0,289
1cc24C;0,000184;0,0000019;1316,267;0,273
5cc55C;0,0015941;0,0000028;360,167;0,318
5cc58C;0,0011171;0,000003;369,367;0,38
1cc48C;0;0;0;0
1cc51C;0,0003485;0,0000005;2786,4;0,348
5cc48C;0,000823;0,0000013;291,5;0,318
10cc50C;0,0039866;0,0000001;182;0,314
1cc54,7C;0,0002219;0,000002;1231,967;0,28
1cc52C;0,0001637;0,000002;1744,467;0,275
